 Concentration,     Distance, Elevation, Flow,Season/Month, Zo sector,      Date,     H0,    U*,     W*, DT/DZ,ZICNV, ZIMCH, M-O LEN,   Z0, BOWEN,ALBEDO, REF WS,    HT,REF TA,    HT
163.51,1075,"38,79",50,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
156.4,1100,"42,25",50,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
148.66,1125,"37,04",40,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
150.53,1150,"38,18",100,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
150.28,1175,"40,91",100,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
140.53,1200,"43,61",100,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
122.14,1225,"46,35",100,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
127.11,1250,"35,92",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
130.11,1275,"36,93",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
132.01,1300,"38,06",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
132.43,1325,"39,55",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
129.88,1350,"40,86",110,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
125.69,1375,"41,94",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
121.47,1400,"43,1",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
114.81,1425,"44,5",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
106.39,1450,"45,88",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
103.93,1475,"46,01",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
104.42,1500,"45,57",110,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
109.65,1525,"37,42",40,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
111.18,1550,"40,91",40,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
104.64,1575,"37,92",150,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
104.61,1600,"40,95",150,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
98.938,1625,"36,38",30,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
103.81,1650,"39,6",30,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
103.07,1675,"40,7",60,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
101.21,1700,"41,26",70,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
99.238,1725,"38,94",70,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
96.624,1750,"38,25",70,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
95.36,1775,"38,36",70,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
94.103,1800,39,30,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
89.756,1825,"37,18",30,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
87.782,1850,"36,9",30,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
89.228,1875,"38,28",30,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
88.84,1900,"39,16",30,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
87.758,1925,"39,54",30,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
87.533,1950,"40,89",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
85.631,1975,"38,86",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
83.97,2000,"42,89",100,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
84.124,2025,"40,51",100,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
80.652,2050,"37,76",100,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
78.513,2075,"40,24",130,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
79.259,2100,"38,18",270,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
79.827,2125,"40,28",270,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
78.082,2150,"42,54",270,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
76.003,2175,"38,81",300,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
75.363,2200,"39,41",300,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
74.497,2225,"39,72",300,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
73.336,2250,"38,99",300,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
73.569,2275,"39,77",30,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
70.44,2300,"37,28",260,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
71.712,2325,"38,88",260,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
71.488,2350,"40,75",260,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
70.089,2375,"38,91",310,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
69.779,2400,"39,77",310,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
68.944,2425,"41,18",310,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
67.604,2450,"42,99",310,     Annual,     0-360,10010101,"-8,8","0,102",-9,"0,02",-999,75,"10,2","0,2","0,77","0,24",2,10,273,2
