 Concentration,     Distance, Elevation, Flow,Season/Month, Zo sector,      Date,     H0,    U*,     W*, DT/DZ,ZICNV, ZIMCH, M-O LEN,   Z0, BOWEN,ALBEDO, REF WS,    HT,REF TA,    HT
310.78,75,"0,1",140,     Annual,     0-360,10022701,"-5,4","1,022",-9,"0,02",-999,2376,8888,"0,2","0,77","0,24",10,10,303,2
311.52,78,"0,18",140,     Annual,     0-360,10022701,"-5,4","1,022",-9,"0,02",-999,2376,8888,"0,2","0,77","0,24",10,10,303,2
280.61,100,"0,5",60,     Annual,     0-360,10022501,"-55,04","1,015",-9,"0,02",-999,2352,1769,"0,2","0,77","0,24",10,10,303,2
235.92,125,"0,41",260,     Annual,     0-360,10022101,"-3,78","0,715",-9,"0,02",-999,1390,8888,"0,2","0,77","0,24",7,10,303,2
209.27,150,"0,27",320,     Annual,     0-360,10022001,"-32,19","0,707",-9,"0,02",-999,1367,"1021,1","0,2","0,77","0,24",7,10,303,2
184.22,175,"2,93",140,     Annual,     0-360,10021901,"-38,23","0,705",-9,"0,02",-999,1362,"853,6","0,2","0,77","0,24",7,10,303,2
159.89,200,"2,44",140,     Annual,     0-360,10021901,"-38,23","0,705",-9,"0,02",-999,1362,"853,6","0,2","0,77","0,24",7,10,303,2
141.68,225,"0,26",100,     Annual,     0-360,10021501,"-2,69","0,51",-9,"0,02",-999,837,4576,"0,2","0,77","0,24",5,10,303,2
129.82,250,"3,87",140,     Annual,     0-360,10021501,"-2,69","0,51",-9,"0,02",-999,837,4576,"0,2","0,77","0,24",5,10,303,2
118.89,275,"1,93",40,     Annual,     0-360,10021401,"-22,71","0,499",-9,"0,02",-999,810,"508,2","0,2","0,77","0,24",5,10,303,2
110.35,300,"4,98",300,     Annual,     0-360,10021401,"-22,71","0,499",-9,"0,02",-999,810,"508,2","0,2","0,77","0,24",5,10,303,2
102.71,325,"6,49",300,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
95.296,350,"6,61",300,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
88.411,375,"6,86",300,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
82.276,400,"8,16",70,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
76.678,425,"9,58",70,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
71.515,450,"10,49",70,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
66.822,475,"11,39",70,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
63.533,500,"13,05",90,     Annual,     0-360,10021001,"-51,44","0,477",-9,"0,02",-999,757,"176,6","0,2","0,77","0,24",5,10,273,2
60.674,525,"15,44",90,     Annual,     0-360,10020801,"-17,9","0,393",-9,"0,02",-999,567,"315,8","0,2","0,77","0,24",4,10,303,2
58.259,550,"17,01",90,     Annual,     0-360,10020701,"-21,14","0,39",-9,"0,02",-999,560,"260,9","0,2","0,77","0,24",4,10,303,2
55.957,575,18,90,     Annual,     0-360,10020701,"-21,14","0,39",-9,"0,02",-999,560,"260,9","0,2","0,77","0,24",4,10,303,2
55.485,600,"20,56",80,     Annual,     0-360,10011701,"-13,74","0,128",-9,"0,02",-999,105,"12,7","0,2","0,77","0,24","2,5",10,273,2
79.012,625,"22,51",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
69.922,650,"21,98",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
