 Concentration,     Distance, Elevation, Flow,Season/Month, Zo sector,      Date,     H0,    U*,     W*, DT/DZ,ZICNV, ZIMCH, M-O LEN,   Z0, BOWEN,ALBEDO, REF WS,    HT,REF TA,    HT
642.06,75,"3,22",100,     Annual,     0-360,10022501,"-55,04","1,015",-9,"0,02",-999,2352,1769,"0,2","0,77","0,24",10,10,303,2
470.69,100,"4,34",100,     Annual,     0-360,10022001,"-32,19","0,707",-9,"0,02",-999,1367,"1021,1","0,2","0,77","0,24",7,10,303,2
375.15,125,"4,23",130,     Annual,     0-360,10021901,"-38,23","0,705",-9,"0,02",-999,1362,"853,6","0,2","0,77","0,24",7,10,303,2
296.42,150,"3,75",140,     Annual,     0-360,10021901,"-38,23","0,705",-9,"0,02",-999,1362,"853,6","0,2","0,77","0,24",7,10,303,2
242.59,175,"2,93",140,     Annual,     0-360,10021501,"-2,69","0,51",-9,"0,02",-999,837,4576,"0,2","0,77","0,24",5,10,303,2
213.05,200,"2,44",140,     Annual,     0-360,10021401,"-22,71","0,499",-9,"0,02",-999,810,"508,2","0,2","0,77","0,24",5,10,303,2
190.14,225,"2,89",270,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
170.26,250,"3,87",140,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
152.26,275,"4,21",270,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
136.99,300,"4,98",300,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
124.31,325,"6,49",300,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
112.42,350,"6,61",300,     Annual,     0-360,10021301,"-26,9","0,496",-9,"0,02",-999,804,"422,7","0,2","0,77","0,24",5,10,303,2
103.37,375,"6,86",300,     Annual,     0-360,10021001,"-51,44","0,477",-9,"0,02",-999,757,"176,6","0,2","0,77","0,24",5,10,273,2
96.678,400,"8,16",70,     Annual,     0-360,10021001,"-51,44","0,477",-9,"0,02",-999,757,"176,6","0,2","0,77","0,24",5,10,273,2
90.542,425,"9,58",70,     Annual,     0-360,10021001,"-51,44","0,477",-9,"0,02",-999,757,"176,6","0,2","0,77","0,24",5,10,273,2
84.864,450,"10,49",70,     Annual,     0-360,10021001,"-51,44","0,477",-9,"0,02",-999,757,"176,6","0,2","0,77","0,24",5,10,273,2
79.674,475,"11,39",70,     Annual,     0-360,10021001,"-51,44","0,477",-9,"0,02",-999,757,"176,6","0,2","0,77","0,24",5,10,273,2
74.927,500,"13,05",90,     Annual,     0-360,10021001,"-51,44","0,477",-9,"0,02",-999,757,"176,6","0,2","0,77","0,24",5,10,273,2
70.951,525,"15,44",90,     Annual,     0-360,10020701,"-21,14","0,39",-9,"0,02",-999,560,"260,9","0,2","0,77","0,24",4,10,303,2
72.918,550,"17,01",90,     Annual,     0-360,10011701,"-13,74","0,128",-9,"0,02",-999,105,"12,7","0,2","0,77","0,24","2,5",10,273,2
84.089,575,18,90,     Annual,     0-360,10011701,"-13,74","0,128",-9,"0,02",-999,105,"12,7","0,2","0,77","0,24","2,5",10,273,2
123.42,600,"20,56",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
155.66,625,"22,51",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
141.24,650,"21,98",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
132.51,675,"21,71",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
146.11,700,"22,74",80,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
184.93,725,"25,37",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
221.97,750,"28,56",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
233.74,775,"31,1",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
228.25,800,"33,47",90,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
222.54,825,"32,32",60,     Annual,     0-360,10010601,"-9,27","0,102",-9,"0,02",-999,75,"10,7","0,2","0,77","0,24",2,10,303,2
